"ID","Primary.Type","month","Latitude","Longitude","CountWithinRadius"
11634113,"THEFT","03",41.882914147,-87.694674048,1
11635183,"WEAPONS VIOLATION","03",41.751928332,-87.644077264,8
11639695,"NARCOTICS","03",41.877244215,-87.681430778,1
11631462,"THEFT","03",41.883500187,-87.627876698,52
11634891,"THEFT","03",41.883133362,-87.677573795,2
11619664,"THEFT","03",41.947457773,-87.700499912,1
11639257,"CRIMINAL DAMAGE","03",41.885326396,-87.633919718,6
11624921,"THEFT","03",41.884493832,-87.627021129,8
11623702,"DECEPTIVE PRACTICE","03",41.77935338,-87.615604225,1
11636814,"INTERFERENCE WITH PUBLIC OFFICER","03",41.769353766,-87.591078119,2
11636132,"BATTERY","03",41.877184166,-87.686340752,1
11627559,"BATTERY","03",41.861081457,-87.693790049,1
11625334,"CRIMINAL TRESPASS","03",41.778656405,-87.684846319,2
11618311,"ASSAULT","03",41.786027774,-87.642509465,2
11634054,"OFFENSE INVOLVING CHILDREN","03",41.745942755,-87.715436553,1
11630739,"BATTERY","03",41.878484106,-87.754032016,1
11619958,"BATTERY","03",41.798606265,-87.659849704,1
11622960,"THEFT","03",41.766229358,-87.577811739,1
11620069,"OTHER OFFENSE","03",41.912046183,-87.726401972,1
11618795,"CRIMINAL TRESPASS","03",41.747463162,-87.569819638,1
11631840,"WEAPONS VIOLATION","03",41.960390883,-87.690555171,2
11637963,"ASSAULT","03",41.683938235,-87.721741177,1
11632746,"CRIMINAL DAMAGE","03",41.748933794,-87.602691976,2
11622504,"NARCOTICS","03",41.887285778,-87.75693091,2
11621872,"CRIMINAL DAMAGE","03",41.894184379,-87.770117054,1
11648813,"THEFT","03",41.797249501,-87.582222391,1
11622219,"CRIMINAL TRESPASS","03",41.959891679,-87.767222504,1
11615150,"DECEPTIVE PRACTICE","03",41.815176924,-87.665138344,1
11632912,"CRIMINAL DAMAGE","03",41.876583887,-87.760357494,1
11691354,"DECEPTIVE PRACTICE","03",41.938912362,-87.659988908,1
11638158,"BATTERY","03",41.721627204,-87.624485177,8
11633342,"ASSAULT","03",41.8574942,-87.627186156,2
11626263,"THEFT","03",41.777843802,-87.742275381,1
11635870,"BURGLARY","03",41.745340898,-87.574652466,1
11634516,"DECEPTIVE PRACTICE","03",41.976417631,-87.653500155,1
11621870,"CRIMINAL TRESPASS","03",41.93030588,-87.709430607,3
11634667,"WEAPONS VIOLATION","03",41.892632772,-87.721105958,1
11612599,"CRIMINAL DAMAGE","03",41.902618024,-87.774168158,1
11617916,"OFFENSE INVOLVING CHILDREN","03",41.881631341,-87.632355275,3
11611329,"DECEPTIVE PRACTICE","03",41.881703396,-87.626203588,2
11615580,"MOTOR VEHICLE THEFT","03",41.773360201,-87.64069877,1
11639594,"MOTOR VEHICLE THEFT","03",42.003683131,-87.692477957,1
11622058,"CRIMINAL DAMAGE","03",41.990390893,-87.740603745,1
11630542,"WEAPONS VIOLATION","03",41.772382712,-87.61865868,3
11616680,"BURGLARY","03",41.743152329,-87.718094261,2
11632685,"THEFT","03",41.924224899,-87.639638995,2
11620583,"ASSAULT","03",41.960027497,-87.720453904,2
11640321,"ASSAULT","03",41.880627082,-87.734186849,1
11615652,"OTHER OFFENSE","03",41.875948534,-87.743274336,1
