"ID","Primary.Type","month","Latitude","Longitude","CountWithinRadius"
11643160,"ASSAULT","04",41.923548637,-87.801383185,1
11659215,"BATTERY","04",41.756057234,-87.654929158,3
11686960,"DECEPTIVE PRACTICE","04",41.736269116,-87.627768243,4
11659777,"NARCOTICS","04",41.793167911,-87.669419157,1
11670437,"THEFT","04",41.993108732,-87.656905495,1
11647876,"NARCOTICS","04",41.811436318,-87.695523965,1
11645445,"THEFT","04",41.918116868,-87.652579784,2
11645114,"THEFT","04",41.77447889,-87.692055551,3
11663177,"BATTERY","04",41.764632089,-87.628311641,1
11665587,"NARCOTICS","04",41.893481171,-87.658501324,1
11695014,"DECEPTIVE PRACTICE","04",41.955836914,-87.689828883,1
11650579,"MOTOR VEHICLE THEFT","04",41.965665255,-87.654791122,1
11669466,"THEFT","04",41.868541914,-87.639235361,17
11654491,"BATTERY","04",41.874806427,-87.758324509,1
11652959,"OTHER OFFENSE","04",41.890471882,-87.746104556,1
11670028,"CRIMINAL DAMAGE","04",41.846470952,-87.693777767,1
11663610,"ASSAULT","04",41.751216422,-87.669518133,2
11660237,"DECEPTIVE PRACTICE","04",41.903996883,-87.643230238,11
11652459,"CRIMINAL TRESPASS","04",41.879783007,-87.773012281,3
11663638,"ASSAULT","04",41.750756536,-87.59547383,1
11680813,"CRIMINAL DAMAGE","04",41.710598229,-87.685461219,1
11646747,"BATTERY","04",41.861088541,-87.705518839,3
11680312,"THEFT","04",41.96249064,-87.663744765,2
11656480,"ROBBERY","04",41.874060099,-87.705924314,5
11673055,"THEFT","04",41.909658573,-87.634664454,4
11664043,"MOTOR VEHICLE THEFT","04",41.765265227,-87.609210963,2
11673777,"CRIMINAL TRESPASS","04",41.780946398,-87.621995369,8
11653807,"OTHER OFFENSE","04",41.851660202,-87.715304747,4
11647414,"NARCOTICS","04",41.861818281,-87.714068913,1
11657002,"NARCOTICS","04",41.875255034,-87.726573941,2
11654618,"CRIMINAL DAMAGE","04",41.755500772,-87.649019745,1
11670333,"MOTOR VEHICLE THEFT","04",41.782383658,-87.666714538,1
11680116,"NARCOTICS","04",41.877111878,-87.723791419,2
11667039,"BATTERY","04",41.904026928,-87.758826479,2
11666041,"BATTERY","04",41.870958647,-87.661690214,1
11661607,"WEAPONS VIOLATION","04",41.902365801,-87.716854733,7
11665081,"NARCOTICS","04",41.910601612,-87.638574153,1
11656416,"BATTERY","04",41.859988632,-87.709141806,2
11649786,"THEFT","04",41.945238279,-87.712670479,3
11657693,"MOTOR VEHICLE THEFT","04",41.959773433,-87.71554799,1
11654421,"DECEPTIVE PRACTICE","04",41.967194227,-87.727996798,2
11648631,"THEFT","04",41.85199252,-87.688888738,6
11641035,"THEFT","04",41.749519667,-87.652502378,1
11644503,"THEFT","04",41.880282446,-87.635267303,1
11648915,"NARCOTICS","04",41.957537138,-87.656222966,2
11660671,"ASSAULT","04",41.875250729,-87.726797963,3
11655865,"OTHER OFFENSE","04",41.883330195,-87.764964695,2
11663834,"CRIMINAL DAMAGE","04",41.924560689,-87.720356178,1
